id,source_type,source_id,relation,target_type,target_id,confidence,provenance
edge_0098944,Evidence,ev_biochem_004285_692f96d824,BELONGS_TO_PANEL,Panel,panel_biochem,1.0,kb_pdf
edge_0098945,Evidence,ev_biochem_004286_e8310b0336,FROM_SOURCE,Source,src_henry_pdf,0.98,kb_pdf
edge_0098946,Evidence,ev_biochem_004286_e8310b0336,BELONGS_TO_PANEL,Panel,panel_biochem,1.0,kb_pdf
edge_0098947,Evidence,ev_biochem_004287_7f9cec8d6a,FROM_SOURCE,Source,src_henry_pdf,0.98,kb_pdf
edge_0098948,Evidence,ev_biochem_004287_7f9cec8d6a,BELONGS_TO_PANEL,Panel,panel_biochem,1.0,kb_pdf
edge_0098949,Evidence,ev_biochem_004288_fb31abb8db,FROM_SOURCE,Source,src_henry_pdf,0.98,kb_pdf
edge_0098950,Evidence,ev_biochem_004288_fb31abb8db,BELONGS_TO_PANEL,Panel,panel_biochem,1.0,kb_pdf
edge_0098951,Evidence,ev_biochem_004289_cb1c914559,FROM_SOURCE,Source,src_henry_pdf,0.98,kb_pdf
edge_0098952,Evidence,ev_biochem_004289_cb1c914559,BELONGS_TO_PANEL,Panel,panel_biochem,1.0,kb_pdf
edge_0098953,Evidence,ev_biochem_004290_6fa1cbdbb3,FROM_SOURCE,Source,src_henry_pdf,0.98,kb_pdf
edge_0098954,Evidence,ev_biochem_004290_6fa1cbdbb3,BELONGS_TO_PANEL,Panel,panel_biochem,1.0,kb_pdf
edge_0098955,Evidence,ev_biochem_004290_6fa1cbdbb3,MENTIONS_TOPIC,Topic,topic_purine_metabolism,0.8,kb_pdf
edge_0098956,Evidence,ev_biochem_004290_6fa1cbdbb3,SUPPORTS,Condition,cond_gout_risk,0.75,kb_pdf
edge_0098957,Evidence,ev_biochem_004290_6fa1cbdbb3,SUPPORTS,Condition,cond_hyperuricemia,0.75,kb_pdf
edge_0098958,Evidence,ev_biochem_004291_0534e5deee,FROM_SOURCE,Source,src_henry_pdf,0.98,kb_pdf
edge_0098959,Evidence,ev_biochem_004291_0534e5deee,BELONGS_TO_PANEL,Panel,panel_biochem,1.0,kb_pdf
